,gtype,itersplit,copies,epochs,kendalltau,std
90,ER,4,10,0,0.705641723897104,0.019034587008652806
91,ER,4,10,1,0.778665539853246,0.02436831470412743
92,ER,4,10,2,0.8011247344621648,0.021192749979854972
93,ER,4,10,3,0.8131886849015867,0.019188477406785823
94,ER,4,10,4,0.8219848311652577,0.01827506780854931
95,ER,4,10,5,0.8292731678835121,0.018990022975476535
96,ER,4,10,6,0.8352083189562303,0.019022828792535043
97,ER,4,10,7,0.8404849228095299,0.018855104040228127
98,ER,4,10,8,0.8454336328563776,0.0184393556599701
99,ER,4,10,9,0.8495774703119547,0.017502033526963456
100,SF,0,10,0,0.9641779663365814,0.001572526694616789
101,SF,0,10,1,0.967625300209906,0.0015644398593454858
102,SF,0,10,2,0.9703011193004878,0.0018261750354352476
103,SF,0,10,3,0.9719718873520525,0.002212961397479442
104,SF,0,10,4,0.9728018674402561,0.0024565095881386636
105,SF,0,10,5,0.97334462850105,0.00263558523692952
106,SF,0,10,6,0.9736988262430254,0.0026802462090195706
107,SF,0,10,7,0.9739813252990596,0.0027114953866310466
108,SF,0,10,8,0.9742359749410487,0.0027483447421417853
109,SF,0,10,9,0.9744568232980683,0.0027767739951985388
110,SF,1,10,0,0.9641526826445507,0.001531329147319958
111,SF,1,10,1,0.9676697765264606,0.0015257878770917512
112,SF,1,10,2,0.9704018700477051,0.0017855974667323163
113,SF,1,10,3,0.9719346450827752,0.0021484123416690586
114,SF,1,10,4,0.9727175746282335,0.0023844590318926203
115,SF,1,10,5,0.9732691632752104,0.002522535166823064
116,SF,1,10,6,0.9736252875891139,0.0025766766327180216
117,SF,1,10,7,0.9738991778129341,0.0025956390248349486
118,SF,1,10,8,0.974161095232488,0.0026672799713060077
119,SF,1,10,9,0.9743525369577839,0.0026972880023050133
120,SF,2,10,0,0.9641159979319044,0.001564367229431339
121,SF,2,10,1,0.9675876784786233,0.0015021607817767568
122,SF,2,10,2,0.9704856978588323,0.0018107589945453551
123,SF,2,10,3,0.9721481874750783,0.002206419581245926
124,SF,2,10,4,0.9729216372374646,0.0024785800725388727
125,SF,2,10,5,0.9734178771756573,0.0025960474305226273
126,SF,2,10,6,0.9737624772970042,0.0026046399578362727
127,SF,2,10,7,0.974079852794603,0.002602148811469609
128,SF,2,10,8,0.9743135473143539,0.0026267625407519896
129,SF,2,10,9,0.9745054154612038,0.0026235499960212544
130,SF,3,10,0,0.9641762969108564,0.0015503538346398644
131,SF,3,10,1,0.9675388004726919,0.0015124999100150755
132,SF,3,10,2,0.970248916157394,0.0017802193590324062
133,SF,3,10,3,0.971864121183765,0.0020783550673904878
134,SF,3,10,4,0.9727729685229558,0.0023740122415238595
135,SF,3,10,5,0.9732506531859137,0.0024984955256452906
136,SF,3,10,6,0.9735993935006206,0.0025696917653134396
137,SF,3,10,7,0.9739079101320309,0.0025900845180890407
138,SF,3,10,8,0.9741971425979747,0.0026173802085117334
139,SF,3,10,9,0.9744367031181339,0.002639914834800496
140,SF,4,10,0,0.9645697542379889,0.0015297099687243871
141,SF,4,10,1,0.9677973665006382,0.0015320425149856543
142,SF,4,10,2,0.9703613598341618,0.001788662758476635
143,SF,4,10,3,0.9718966456202043,0.0021222824908421326
144,SF,4,10,4,0.9728166892393926,0.002417452524125788
145,SF,4,10,5,0.9732877965603649,0.002543151544385226
146,SF,4,10,6,0.9736444966236117,0.002572360308192738
147,SF,4,10,7,0.9739280308814825,0.0025989556913709284
148,SF,4,10,8,0.9741946674880053,0.0026066811323923206
149,SF,4,10,9,0.9743949553720004,0.002648665891646408
