,gtype,copies,epochs,kendalltau,std
84,SF,1,9,0.9635488328435169,0.0019831512397083173
85,SF,1,10,0.9639282621871341,0.0019081449425149655
86,SF,1,11,0.9643018683131306,0.0018280711474959498
87,SF,1,12,0.9646526986926034,0.0017509810767455
88,SF,1,13,0.9649832720543643,0.0016824435707340248
89,SF,1,14,0.9653185145234445,0.0016058715769016567
90,SF,2,0,0.9602194728091826,0.0027202677956264295
91,SF,2,1,0.9622089598993041,0.002279232044566476
92,SF,2,2,0.9625646091420152,0.0021724283225160942
93,SF,2,3,0.962957760668333,0.002100304904513333
94,SF,2,4,0.9637055830387513,0.0019572101599734967
95,SF,2,5,0.9643776212630201,0.0018203203236807233
96,SF,2,6,0.9650720091658448,0.0016595458745954162
97,SF,2,7,0.9657517559723348,0.0015053934728442668
98,SF,2,8,0.9664235766712265,0.0013580252550193781
99,SF,2,9,0.9670913015961254,0.0012063653772847278
100,SF,2,10,0.9677135940843122,0.0010696985910061266
101,SF,2,11,0.9683277495301507,0.0009458381509381246
102,SF,2,12,0.9689076617611425,0.0008288226863780313
103,SF,2,13,0.969470770026485,0.0007372229734542904
104,SF,2,14,0.9699877651597741,0.000666559972779718
105,SF,10,0,0.9638719664363784,0.0019365953125547986
106,SF,10,1,0.9674482434141065,0.0011468498226634989
107,SF,10,2,0.9706177922843034,0.0006465900692140368
108,SF,10,3,0.9725750779474216,0.0009504536522660428
109,SF,10,4,0.973527936320906,0.0012016607150870942
110,SF,10,5,0.9741510044075892,0.0013949361119023425
111,SF,10,6,0.9745517485866422,0.0015269930688926428
112,SF,10,7,0.97486414131108,0.0015866225668689105
113,SF,10,8,0.9751021975072869,0.0016755177079575535
114,SF,10,9,0.9752437713579851,0.0016789990030923068
115,SF,10,10,0.9753436812494444,0.0016932710470902036
116,SF,10,11,0.9754302233655225,0.0017379987616727341
117,SF,10,12,0.9754495443668871,0.0017230897548796231
118,SF,10,13,0.975460188727822,0.001738364568603461
119,SF,10,14,0.975477786051892,0.001766375226582103
120,SF,20,0,0.9676474256138661,0.0011093283769476284
121,SF,20,1,0.9723683804399407,0.0008182528015183478
122,SF,20,2,0.9740448278191114,0.0013582185737612117
123,SF,20,3,0.9748098783081343,0.0016206273723664436
124,SF,20,4,0.9752975744948145,0.0017524812735162858
125,SF,20,5,0.9756133550384266,0.0018297328146246838
126,SF,20,6,0.97583758716708,0.0019345007744585238
127,SF,20,7,0.9759734607134677,0.0019758911840199096
128,SF,20,8,0.9760255427441603,0.0020001781538597123
129,SF,20,9,0.9760151950984509,0.001976474527653549
130,SF,20,10,0.9759523361905142,0.002003378956591709
131,SF,20,11,0.9759086202976027,0.0020539234229831533
132,SF,20,12,0.9756992331859486,0.002029255808739486
133,SF,20,13,0.9755545223685413,0.0020039754461638284
134,SF,20,14,0.975344413070817,0.0021108213819104518
135,SF,40,0,0.9725242121238497,0.0008490310505636485
136,SF,40,1,0.9748989520950511,0.0016261413746896023
137,SF,40,2,0.9757197808801873,0.0018979630642968581
138,SF,40,3,0.9761693416218857,0.0020987117253319612
139,SF,40,4,0.9764725740779359,0.0022345863033382376
140,SF,40,5,0.9766501113057924,0.0023227514079718096
141,SF,40,6,0.976721901479568,0.002418191379821425
142,SF,40,7,0.9766495964477494,0.002337086027118661
143,SF,40,8,0.9765445554838328,0.002396838511599927
144,SF,40,9,0.9764607821953438,0.0024507325295845383
145,SF,40,10,0.9762897815956759,0.002379137631192344
146,SF,40,11,0.9759811745400929,0.002503355879196264
147,SF,40,12,0.9756923682086539,0.0024672628631867985
148,SF,40,13,0.9755928944186383,0.0025441970775552485
149,SF,40,14,0.9752870414778873,0.002530295740635619
150,GRP,1,0,0.5423017026733256,0.0935094503014822
151,GRP,1,1,0.6148439387853626,0.09320387642003969
152,GRP,1,2,0.6695285343764135,0.0913136249101655
153,GRP,1,3,0.6927856439407448,0.08369933775215169
154,GRP,1,4,0.703680293722311,0.07934149358841945
155,GRP,1,5,0.7178018204817056,0.07999922765859495
156,GRP,1,6,0.731111438849694,0.08054933522043803
157,GRP,1,7,0.7410502690916841,0.07752760477563163
158,GRP,1,8,0.7484722627144703,0.0745608377795622
159,GRP,1,9,0.7557979227891046,0.07327571695311355
160,GRP,1,10,0.7622465144540606,0.07277525222656889
161,GRP,1,11,0.7680529303276632,0.07282571319654502
162,GRP,1,12,0.773122416232352,0.07304347976941371
163,GRP,1,13,0.7771356223552746,0.07342525287646864
164,GRP,1,14,0.7801690428621679,0.07380370550201752
165,GRP,2,0,0.6095337154888039,0.09130291129927466
166,GRP,2,1,0.6925954474987638,0.08499357107083565
167,GRP,2,2,0.7143663269167385,0.07887240148491485
168,GRP,2,3,0.7372187032420194,0.07628046217873158
169,GRP,2,4,0.7538700344875444,0.07374946679790607
170,GRP,2,5,0.7670055037939112,0.07420014280713473
171,GRP,2,6,0.776373045189003,0.07563267619840307
172,GRP,2,7,0.7819683878047875,0.07607129014467652
173,GRP,2,8,0.7854604932201709,0.07679566944729078
174,GRP,2,9,0.787315583487342,0.07809356205210048
175,GRP,2,10,0.7883723568406653,0.07981344451040585
176,GRP,2,11,0.7888767082972338,0.08196300275218465
177,GRP,2,12,0.7890870755553688,0.08454143506530512
178,GRP,2,13,0.7888641440087877,0.08749498729998181
179,GRP,2,14,0.7884640222523777,0.09062423352573977
180,GRP,10,0,0.7553517608183581,0.07306501285760753
181,GRP,10,1,0.7899215441835693,0.07564035363409906
182,GRP,10,2,0.7920838893734568,0.08764452075653452
183,GRP,10,3,0.7932990274648606,0.1026172692459511
184,GRP,10,4,0.7959676354320944,0.11785214570628025
185,GRP,10,5,0.8027573255862851,0.1195252775763266
186,GRP,10,6,0.8071477793857496,0.11734727861620887
187,GRP,10,7,0.8121254489583276,0.11808953327961089
188,GRP,10,8,0.8131729459495467,0.12073393636012503
189,GRP,10,9,0.8155983885740469,0.12028224373025949
190,GRP,10,10,0.8171874100013637,0.11912643685945372
191,GRP,10,11,0.819227738301897,0.11756332986558984
192,GRP,10,12,0.8220977094328811,0.11570889309312883
193,GRP,10,13,0.8210382016564353,0.1155851061337688
194,GRP,10,14,0.8241994876074562,0.1130723130050114
195,GRP,20,0,0.7914254124283999,0.07389435191148257
196,GRP,20,1,0.7961182365399685,0.09936322702384454
197,GRP,20,2,0.8075968450483682,0.11469096938982477
198,GRP,20,3,0.8160153432574848,0.11259826167508233
199,GRP,20,4,0.8224274058100158,0.11087566271004771
200,GRP,20,5,0.826014255836523,0.10913198441074616
201,GRP,20,6,0.8267387217793025,0.10779161436187329
202,GRP,20,7,0.8277777471824039,0.10712529294620736
203,GRP,20,8,0.8280724146033407,0.10716744006097778
204,GRP,20,9,0.8287468218799715,0.10707574888043604
205,GRP,20,10,0.8269000756184317,0.10859260748645538
206,GRP,20,11,0.8270095579745048,0.10861326286702463
207,GRP,20,12,0.8271834474693159,0.10907441922403598
208,GRP,20,13,0.8251732705927921,0.10974665168784688
209,GRP,20,14,0.8259810162127241,0.1099917115481132
210,GRP,40,0,0.7836602616874804,0.11706502203587742
211,GRP,40,1,0.8055433083616427,0.12855995789501526
212,GRP,40,2,0.8029615320778378,0.14256912457933626
213,GRP,40,3,0.8067077255893087,0.13767509461014876
214,GRP,40,4,0.8128885824641692,0.13035141492539695
215,GRP,40,5,0.8163508717915196,0.12549862488467814
216,GRP,40,6,0.8198446169675083,0.12043031741304346
217,GRP,40,7,0.819129238255887,0.12250095441029424
218,GRP,40,8,0.8173768309421166,0.12575408530035007
219,GRP,40,9,0.8189657771239023,0.1223205761300006
220,GRP,40,10,0.8183070707004031,0.12371251201843712
221,GRP,40,11,0.8192195076369302,0.12231163654146186
222,GRP,40,12,0.8167314901612232,0.1259470926311887
223,GRP,40,13,0.8149603627680673,0.12813846836233234
224,GRP,40,14,0.8165923795922287,0.12494586790552312
