,gtype,segraph,copies,epochs,kendalltau,std
116,SF,1,10,6,0.9737639056357642,0.00261458225703934
117,SF,1,10,7,0.9740414122954622,0.0026462004975211467
118,SF,1,10,8,0.9742700580318779,0.0026815616734170286
119,SF,1,10,9,0.9744995999583621,0.002731509731056967
120,SF,2,10,0,0.9641628358915906,0.0015226613755681842
121,SF,2,10,1,0.9677753599902287,0.0015310001187615796
122,SF,2,10,2,0.9706567753213609,0.0018206902381904231
123,SF,2,10,3,0.9723842981760669,0.002237481954649406
124,SF,2,10,4,0.9731655548403063,0.0024738982854747575
125,SF,2,10,5,0.9736415710236328,0.002584335225228266
126,SF,2,10,6,0.973948709202334,0.0026207104284429266
127,SF,2,10,7,0.9742346964243351,0.0026583557568493764
128,SF,2,10,8,0.9744609376839442,0.002686993231384003
129,SF,2,10,9,0.974612936924677,0.0027172456549498657
130,SF,3,10,0,0.9638567173506589,0.001617956608917121
131,SF,3,10,1,0.9671369074404692,0.0015442153023008832
132,SF,3,10,2,0.9698701044710178,0.0017398602369130525
133,SF,3,10,3,0.9716295818260388,0.00206973599812837
134,SF,3,10,4,0.9725999774819585,0.002350920075877661
135,SF,3,10,5,0.9732001793186023,0.0025247048653366196
136,SF,3,10,6,0.9735536424452762,0.0026109520646318174
137,SF,3,10,7,0.9738168482572765,0.002657948309423864
138,SF,3,10,8,0.9740182294671531,0.0027168359223528503
139,SF,3,10,9,0.974205283408075,0.002758350634113902
140,SF,4,10,0,0.9636795127152649,0.0016017438018515304
141,SF,4,10,1,0.9675267953271142,0.0015308453864823785
142,SF,4,10,2,0.9704831759611741,0.0018312639557981887
143,SF,4,10,3,0.9721971594579373,0.0021849985160459426
144,SF,4,10,4,0.9730370617226052,0.002508010768635264
145,SF,4,10,5,0.973522246881527,0.002631603049621755
146,SF,4,10,6,0.9738987635936829,0.002680987553252391
147,SF,4,10,7,0.9741544800105709,0.0027290817298147355
148,SF,4,10,8,0.974440878631867,0.002762946509502725
149,SF,4,10,9,0.9746077129934523,0.0028141265352559807
